Font Name,Family,Serif,Weight,Optical Size,Italic,Font Width,Style,Case,Glyph Name,Glyph Width,Glyph Height,Shape Width,Shape Height,Shape Area,On Curve Points,Total Points
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,w,737,1001,678,426,0.09287802352941177,34,94
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,x,471,1001,449,426,0.063758,35,89
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,y,409,1001,511,713,0.0728686,26,74
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Lower,z,477,1001,433,459,0.0639108,32,88
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,A,744,1001,762,745,0.14915776470588235,43,109
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,B,678,1001,596,714,0.20192480000000002,40,100
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,C,750,1001,669,738,0.14522114780762335,23,63
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,D,836,1001,758,714,0.21436239999999995,32,84
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,E,686,1001,629,714,0.1655634644310108,56,138
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,F,628,1001,596,717,0.1442104911764706,47,117
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,G,835,1001,748,738,0.1775136,38,96
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,H,858,1001,798,714,0.2256744,68,156
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,I,388,1001,324,714,0.10795679999999999,30,70
ACaslonPro-Semibold,Adobe Caslon,Serif,Semibold,Text,Roman,Regular,Semibold Roman,Upper,J,350,1001,426,931,0.12753604705882354,24,60
